COLLECTION_DATE,ACTION_TIMESTAMP,COLLECTION_ORDER_ID,ACTION,ZONE,AGENT_ID
1/1/2024,"January 1, 2024, 7:26 PM",111402144,PARTIALLY_COLLECTED,ZONE_5,5204
1/1/2024,"January 1, 2024, 7:25 PM",111402144,ARRIVED,ZONE_5,5204
1/1/2024,"January 1, 2024, 7:21 PM",111402144,STARTED TASK,ZONE_5,5204
1/1/2024,"January 1, 2024, 5:03 PM",111511724,FAILED,ZONE_27,26855
1/1/2024,"January 1, 2024, 5:03 PM",111511724,ARRIVED,ZONE_27,26855
1/1/2024,"January 1, 2024, 4:58 PM",111511724,STARTED TASK,ZONE_27,26855
1/1/2024,"January 1, 2024, 5:33 PM",111572551,COLLECTED,ZONE_28,18148
1/1/2024,"January 1, 2024, 5:24 PM",111572551,ARRIVED,ZONE_28,18148
1/1/2024,"January 1, 2024, 5:20 PM",111572551,STARTED TASK,ZONE_28,18148
1/1/2024,"January 1, 2024, 11:51 PM",111574638,FAILED,ZONE_14,17889
1/1/2024,"January 1, 2024, 11:51 PM",111574638,ARRIVED,ZONE_14,17889
1/1/2024,"January 1, 2024, 11:41 PM",111574638,STARTED TASK,ZONE_14,17889
1/1/2024,"January 1, 2024, 7:29 PM",111574839,COLLECTED,ZONE_57,3172
1/1/2024,"January 1, 2024, 7:29 PM",111574839,ARRIVED,ZONE_57,3172
1/1/2024,"January 1, 2024, 7:24 PM",111574839,STARTED TASK,ZONE_57,3172
1/1/2024,"January 1, 2024, 3:24 PM",111594116,COLLECTED,ZONE_21,2895
1/1/2024,"January 1, 2024, 3:24 PM",111594116,ARRIVED,ZONE_21,2895
1/1/2024,"January 1, 2024, 3:20 PM",111594116,STARTED TASK,ZONE_21,2895
1/1/2024,"January 1, 2024, 5:45 PM",111603952,COLLECTED,ZONE_47,5574
1/1/2024,"January 1, 2024, 5:45 PM",111603952,ARRIVED,ZONE_47,5574
1/1/2024,"January 1, 2024, 5:41 PM",111603952,STARTED TASK,ZONE_47,5574
1/1/2024,"January 1, 2024, 10:50 PM",111612379,FAILED,ZONE_62,2677
1/1/2024,"January 1, 2024, 10:50 PM",111612379,ARRIVED,ZONE_62,2677
1/1/2024,"January 1, 2024, 10:46 PM",111612379,STARTED TASK,ZONE_62,2677
1/1/2024,"January 1, 2024, 7:38 PM",111625799,COLLECTED,ZONE_26,26921
1/1/2024,"January 1, 2024, 7:38 PM",111625799,ARRIVED,ZONE_26,26921
1/1/2024,"January 1, 2024, 7:33 PM",111625799,STARTED TASK,ZONE_26,26921
1/1/2024,"January 1, 2024, 4:26 PM",111641174,COLLECTED,ZONE_31,3145
1/1/2024,"January 1, 2024, 4:16 PM",111641174,STARTED TASK,ZONE_31,3145
1/1/2024,"January 1, 2024, 7:14 PM",111658345,FAILED,ZONE_25,26911
1/1/2024,"January 1, 2024, 7:14 PM",111658345,ARRIVED,ZONE_25,26911
1/1/2024,"January 1, 2024, 7:09 PM",111658345,STARTED TASK,ZONE_25,26911
1/1/2024,"January 1, 2024, 3:43 PM",111712028,COLLECTED,ZONE_61,2784
1/1/2024,"January 1, 2024, 3:43 PM",111712028,ARRIVED,ZONE_61,2784
1/1/2024,"January 1, 2024, 3:39 PM",111712028,STARTED TASK,ZONE_61,2784
1/1/2024,"January 1, 2024, 10:41 PM",111773475,PARTIALLY_COLLECTED,ZONE_58,2483
1/1/2024,"January 1, 2024, 10:40 PM",111773475,ARRIVED,ZONE_58,2483
1/1/2024,"January 1, 2024, 10:36 PM",111773475,STARTED TASK,ZONE_58,2483
1/1/2024,"January 1, 2024, 7:12 PM",111777283,FAILED,ZONE_57,3172
1/1/2024,"January 1, 2024, 7:12 PM",111777283,ARRIVED,ZONE_57,3172
1/1/2024,"January 1, 2024, 7:08 PM",111777283,STARTED TASK,ZONE_57,3172
1/1/2024,"January 1, 2024, 7:56 PM",111782017,COLLECTED,ZONE_21,2895
1/1/2024,"January 1, 2024, 7:56 PM",111782017,ARRIVED,ZONE_21,2895
1/1/2024,"January 1, 2024, 7:52 PM",111782017,STARTED TASK,ZONE_21,2895
1/1/2024,"January 1, 2024, 5:46 PM",111782742,COLLECTED,ZONE_56,5545
1/1/2024,"January 1, 2024, 5:45 PM",111782742,ARRIVED,ZONE_56,5545
1/1/2024,"January 1, 2024, 5:41 PM",111782742,STARTED TASK,ZONE_56,5545
1/1/2024,"January 1, 2024, 11:00 PM",111783460,COLLECTED,ZONE_11,3244
1/1/2024,"January 1, 2024, 10:54 PM",111783460,ARRIVED,ZONE_11,3244
1/1/2024,"January 1, 2024, 10:49 PM",111783460,STARTED TASK,ZONE_11,3244
1/1/2024,"January 1, 2024, 3:35 PM",111783461,COLLECTED,ZONE_1,2706
1/1/2024,"January 1, 2024, 3:33 PM",111783461,ARRIVED,ZONE_1,2706
1/1/2024,"January 1, 2024, 3:29 PM",111783461,STARTED TASK,ZONE_1,2706
1/1/2024,"January 1, 2024, 5:57 PM",111783902,COLLECTED,ZONE_1,409
1/1/2024,"January 1, 2024, 5:54 PM",111783902,ARRIVED,ZONE_1,409
1/1/2024,"January 1, 2024, 5:50 PM",111783902,STARTED TASK,ZONE_1,409
1/1/2024,"January 1, 2024, 4:40 PM",111783942,COLLECTED,ZONE_64,3730
1/1/2024,"January 1, 2024, 4:39 PM",111783942,ARRIVED,ZONE_64,3730
1/1/2024,"January 1, 2024, 4:31 PM",111783942,STARTED TASK,ZONE_64,3730
1/1/2024,"January 1, 2024, 3:22 PM",111784329,COLLECTED,ZONE_58,2483
1/1/2024,"January 1, 2024, 3:19 PM",111784329,ARRIVED,ZONE_58,2483
1/1/2024,"January 1, 2024, 3:15 PM",111784329,STARTED TASK,ZONE_58,2483
1/1/2024,"January 1, 2024, 7:52 PM",111784902,FAILED,ZONE_24,26860
1/1/2024,"January 1, 2024, 7:52 PM",111784902,ARRIVED,ZONE_24,26860
1/1/2024,"January 1, 2024, 7:48 PM",111784902,STARTED TASK,ZONE_24,26860
1/1/2024,"January 1, 2024, 5:13 PM",111785384,COLLECTED,ZONE_56,5545
1/1/2024,"January 1, 2024, 5:11 PM",111785384,ARRIVED,ZONE_56,5545
1/1/2024,"January 1, 2024, 5:07 PM",111785384,STARTED TASK,ZONE_56,5545
1/1/2024,"January 1, 2024, 4:24 PM",111785977,PARTIALLY_COLLECTED,ZONE_10,3983
1/1/2024,"January 1, 2024, 4:23 PM",111785977,ARRIVED,ZONE_10,3983
1/1/2024,"January 1, 2024, 4:19 PM",111785977,STARTED TASK,ZONE_10,3983
1/1/2024,"January 1, 2024, 6:18 PM",111786833,PARTIALLY_COLLECTED,ZONE_44,3307
1/1/2024,"January 1, 2024, 6:13 PM",111786833,ARRIVED,ZONE_44,3307
1/1/2024,"January 1, 2024, 6:07 PM",111786833,STARTED TASK,ZONE_44,3307
1/1/2024,"January 1, 2024, 3:55 PM",111788777,COLLECTED,ZONE_26,26911
1/1/2024,"January 1, 2024, 3:53 PM",111788777,ARRIVED,ZONE_26,26911
1/1/2024,"January 1, 2024, 3:49 PM",111788777,STARTED TASK,ZONE_26,26911
1/1/2024,"January 1, 2024, 5:40 PM",111789493,COLLECTED,ZONE_53,3130
1/1/2024,"January 1, 2024, 5:40 PM",111789493,ARRIVED,ZONE_53,3130
1/1/2024,"January 1, 2024, 5:36 PM",111789493,STARTED TASK,ZONE_53,3130
1/1/2024,"January 1, 2024, 8:11 PM",111789976,COLLECTED,ZONE_44,3307
1/1/2024,"January 1, 2024, 8:11 PM",111789976,ARRIVED,ZONE_44,3307
1/1/2024,"January 1, 2024, 8:07 PM",111789976,STARTED TASK,ZONE_44,3307
1/1/2024,"January 1, 2024, 3:27 PM",111789978,PARTIALLY_COLLECTED,ZONE_55,5262
1/1/2024,"January 1, 2024, 3:23 PM",111789978,ARRIVED,ZONE_55,5262
1/1/2024,"January 1, 2024, 3:19 PM",111789978,STARTED TASK,ZONE_55,5262
1/1/2024,"January 1, 2024, 5:01 PM",111789979,COLLECTED,ZONE_7,1009
1/1/2024,"January 1, 2024, 5:00 PM",111789979,ARRIVED,ZONE_7,1009
1/1/2024,"January 1, 2024, 4:56 PM",111789979,STARTED TASK,ZONE_7,1009
1/1/2024,"January 1, 2024, 8:35 PM",111790462,COLLECTED,ZONE_30,26839
1/1/2024,"January 1, 2024, 8:34 PM",111790462,ARRIVED,ZONE_30,26839
1/1/2024,"January 1, 2024, 8:28 PM",111790462,STARTED TASK,ZONE_30,26839
1/1/2024,"January 1, 2024, 7:42 PM",111792154,COLLECTED,ZONE_62,2677
1/1/2024,"January 1, 2024, 7:40 PM",111792154,ARRIVED,ZONE_62,2677
1/1/2024,"January 1, 2024, 7:36 PM",111792154,STARTED TASK,ZONE_62,2677
1/1/2024,"January 1, 2024, 10:11 PM",111793124,COLLECTED,ZONE_5,5204
1/1/2024,"January 1, 2024, 10:10 PM",111793124,ARRIVED,ZONE_5,5204
1/1/2024,"January 1, 2024, 10:06 PM",111793124,STARTED TASK,ZONE_5,5204
1/1/2024,"January 1, 2024, 7:49 PM",111793125,COLLECTED,ZONE_60,26855
1/1/2024,"January 1, 2024, 7:49 PM",111793125,ARRIVED,ZONE_60,26855
1/1/2024,"January 1, 2024, 7:45 PM",111793125,STARTED TASK,ZONE_60,26855
1/1/2024,"January 1, 2024, 2:37 PM",111794093,COLLECTED,ZONE_61,2784
1/1/2024,"January 1, 2024, 2:34 PM",111794093,ARRIVED,ZONE_61,2784
1/1/2024,"January 1, 2024, 2:30 PM",111794093,STARTED TASK,ZONE_61,2784
1/1/2024,"January 1, 2024, 3:36 PM",111794338,COLLECTED,ZONE_25,3956
1/1/2024,"January 1, 2024, 3:36 PM",111794338,ARRIVED,ZONE_25,3956
1/1/2024,"January 1, 2024, 3:32 PM",111794338,STARTED TASK,ZONE_25,3956
1/1/2024,"January 1, 2024, 7:37 PM",111794341,COLLECTED,ZONE_25,26911
1/1/2024,"January 1, 2024, 7:32 PM",111794341,ARRIVED,ZONE_25,26911
1/1/2024,"January 1, 2024, 7:22 PM",111794341,STARTED TASK,ZONE_25,26911
1/1/2024,"January 2, 2024, 12:00 AM",111795793,COLLECTED,ZONE_14,1481
1/1/2024,"January 2, 2024, 12:00 AM",111795793,ARRIVED,ZONE_14,1481
1/1/2024,"January 1, 2024, 11:55 PM",111795793,STARTED TASK,ZONE_14,1481
1/1/2024,"January 1, 2024, 2:47 PM",111796279,COLLECTED,ZONE_17,3840
1/1/2024,"January 1, 2024, 2:46 PM",111796279,ARRIVED,ZONE_17,3840
1/1/2024,"January 1, 2024, 2:42 PM",111796279,STARTED TASK,ZONE_17,3840
1/1/2024,"January 1, 2024, 9:27 PM",111797489,COLLECTED,ZONE_14,17889
1/1/2024,"January 1, 2024, 9:26 PM",111797489,ARRIVED,ZONE_14,17889
1/1/2024,"January 1, 2024, 9:22 PM",111797489,STARTED TASK,ZONE_14,17889
1/1/2024,"January 1, 2024, 2:03 PM",111802820,COLLECTED,ZONE_65,2677
1/1/2024,"January 1, 2024, 1:53 PM",111802820,ARRIVED,ZONE_65,2677
1/1/2024,"January 1, 2024, 1:48 PM",111802820,STARTED TASK,ZONE_65,2677
1/1/2024,"January 1, 2024, 4:38 PM",111803063,COLLECTED,ZONE_26,26921
1/1/2024,"January 1, 2024, 4:37 PM",111803063,ARRIVED,ZONE_26,26921
1/1/2024,"January 1, 2024, 4:33 PM",111803063,STARTED TASK,ZONE_26,26921
1/1/2024,"January 1, 2024, 4:14 PM",111805502,COLLECTED,ZONE_46,221
1/1/2024,"January 1, 2024, 4:13 PM",111805502,ARRIVED,ZONE_46,221
1/1/2024,"January 1, 2024, 4:09 PM",111805502,STARTED TASK,ZONE_46,221
